division,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_08,2023_09,2023_10,2023_11,2023_12,2024_01,2024_02,2024_03,2024_04,2024_05,2024_06,2024_07,2024_08,2024_09,2024_10,2024_11,2024_12,2025_01,2025_02,2025_03
Hawaiʻi::Hawaiʻi Mauka,4.4668875927821485,1.4868484787961633,1.7416231287533996,0.7224017105709171,2.34889176181778,0.8200286283388897,1.627440988636431,1.747700827552801,2.2988166198278597,0.8831065904376767,3.634537235243202,0.8882869994190942,3.9377478405203603,1.4489954922527437,1.49692473137929,0.8116486685364441,1.7805669224419873,2.1632508954881606,1.852537190716522,1.0071197485864065,0.7298669269976071,3.9569280940444664,0.4857518966950136,0.6434079939160597,1.4446592885357183,1.6571762208996912,2.01855527137982,1.4635865056877042,0.4370835758064155,0.9389245159525197,1.1558345972819164,1.6592616395444277,1.1493174227236893,3.2643635219934777,0.8446190826165525,5.115771620341333,3.2462050656948698,3.19439808035959,2.343270911903835,0.7263394584114373,1.1012181521633662,1.077975241235515,0.6513814949433906,0.4276597404300454,2.2578577043124737,0.7284231880021961,1.5919962713409557,0.712979926188663,0.9801065474552745,1.0491601412345113,2.29737207652103,0.7128767330337262,1.1272882177256853,5.70159377203009,1.3186847365629162,1.4280869343535176,2.8071304974041977,0.07939828027119324,2.825395122809989,0.29049999150647143,1.9763808804494674
Hawaiʻi::Hilo,20.511715430375137,6.972769785651263,6.555063144119247,4.682386259171774,8.56507048249417,5.022461226582443,12.36382184350302,4.342850198690564,26.424705819748738,9.94592369683303,20.736560306433713,11.570355673793783,25.12940935800531,10.82926106101494,7.2395657581165835,3.902806203491894,12.303298572442316,9.86821594641935,10.885959805588827,17.39048439328719,5.148020964873624,20.125048712725405,2.3620238938507097,4.697763229547745,8.187722513197444,14.00591467283052,13.217248080726586,7.403634837620531,7.894952262325714,4.644083638355452,6.153344871438236,7.558409067083199,11.240813090666691,7.980330574193584,3.289499049962448,35.013145664671,14.879305559671376,11.398904405797158,10.594562114420656,6.023118987782228,10.666387693707767,7.069631236304276,5.10166540961547,2.5830757095329093,14.801538860088769,7.259269119525654,3.8850147070210377,7.1137706214548855,4.976735790143508,12.36888987881007,14.982350300178727,6.093453710722727,7.3777011863440585,25.903974352969144,10.10314670663739,10.225862944138175,18.51992975808217,3.0257807817424545,6.405631780548496,1.996947309320947,10.06711761187676
Hawaiʻi::Kaʻu,10.38462056482186,4.9091392633461055,4.060967815937651,2.2872236134803714,2.7362408960418843,2.027299344192654,3.9881709263306364,3.6701020451421202,5.444486555088303,3.5527466541725747,11.83037857186701,2.782553343133718,11.48749832747268,3.4586338730610278,3.0071389869099074,2.67910973633904,3.8269202490398704,4.176325281945052,4.285087856811349,2.040219203748934,3.4474596793958328,11.530423216754683,1.3385418299634761,2.6332830397560296,3.6174121906597243,4.035886254011306,2.697756483996508,3.2504011857611514,1.6152199378945895,1.8053320612557888,2.6785442233887102,3.128222789029281,2.5441657610363624,5.246543774731877,2.9877404299421912,15.852466751481652,6.713542326753769,7.009152422768981,4.8712109804344115,2.3278883829233084,3.691218668540192,2.5474534087983547,1.3639937766527992,1.9256198949277492,6.6525806378964,2.140049765139629,7.064735528719557,2.0380124888663778,2.016568949855975,3.0340755085918225,6.895716431217507,1.895929223059725,2.4807899473490607,13.712176043049862,4.357456402787855,4.345789834743261,7.319546997907299,0.740071811588859,5.272252120411369,1.0293111240840844,4.093006649924466
Hawaiʻi::Kona,6.540859918572729,1.6036606841546572,5.15104930748933,4.059662262044831,5.926968381157648,2.8821371641896807,3.436411429425372,1.8801959786602458,4.623330463804294,1.9310715796652123,3.6207104838138218,2.003432691653319,4.99197593033429,2.5957165964719526,3.9066471693043185,3.6794667657320703,3.6749296298868814,4.913767670580873,3.6479072082709787,0.6621058957947018,0.6933443084926133,5.095624950449759,0.6110263385405814,0.805909083374903,2.247800451617566,3.1818718379929853,3.346277785846136,4.906604371927447,0.9524699830774963,1.9029248499110027,3.1911600965677205,3.4641722811913946,1.9421811384944163,6.069065757818766,1.1937627778233817,5.05071708408141,2.8254255971111073,6.163979026478948,5.263927827485879,3.468109332915182,3.0824793151858425,2.206023678174952,1.3811909518978531,1.109376633403984,2.7279718919457445,1.3038029021181894,2.817911719535459,1.8545254454961373,1.1605176351502575,1.7330352688973223,4.4336556466929204,2.156163418626401,2.277937303246076,7.452252860934485,3.461788169121202,2.32663115887579,2.9861325974990898,0.16515331239419054,5.411264813329769,0.44564399330922655,2.0924481660622414
Hawaiʻi::Leeward Kohala,3.600949048831557,1.043720020191988,2.0089214897764385,1.1351994593720245,2.1026653482746753,0.65138690738293,1.10216391846469,1.4099239733362612,0.9330902674266273,1.2550156411718074,2.1995704318655203,1.1965362125409906,2.641086534468013,1.6126096483945065,1.5085230369562612,0.93970941441672,1.3476220398205694,1.8117498576832116,1.0257826837293134,0.43705869097467365,0.24656581995177837,3.7946700848743333,0.5700833749767039,0.4564081149775087,1.0993533572501075,1.771607268373322,2.4392982756714288,2.2869074708401986,0.3967600000742353,0.8230382797973456,1.340803629791153,1.6387675620088997,0.4689224931732874,5.804833183625579,1.358184201879246,3.385913949233248,2.48545379812935,4.054450481376525,2.2653667944164155,1.2982629244546933,0.9377527417226721,0.6597883719076623,0.5621409358173751,0.48366609609714034,1.6435645266467431,1.1636280192745967,2.1714650639145967,0.9221900175273332,0.7029555592629768,1.0191267854066002,2.665153895533812,0.9745023649787785,1.0018187392041435,3.354023071924971,0.7220020289665946,1.2292114438717043,1.2305952963764213,0.20173983189525327,3.734148332187897,0.2914399907147331,1.4165953780351963
Hawaiʻi::Windward Kohala,9.325252225765542,5.313363118342602,5.280571694131796,2.6378919373005942,6.56287792371024,2.9739318928192326,2.8640713799105093,1.1931716376247739,8.956240253670504,3.998275838005159,6.586386523113182,3.250657865452935,9.440024096585512,6.16479058075487,3.5178143287924026,2.0905249645605166,5.803206000155414,6.131058944593696,4.141285659212116,7.637584977431142,1.8588350971973575,9.345970838152272,1.539471526383649,2.3187795690528623,4.903590553444402,8.278469089754124,6.750336099838627,4.944808992688792,4.553156962019587,2.236225753470957,1.8036212211401141,3.4930227220088437,4.965084847291473,9.529911942596714,1.9260152214373605,11.627312619624762,9.650782460039578,5.736870604957077,4.6184314360101375,2.1093940376416733,6.139201632743593,3.5409032749175973,1.5684186436579732,1.1402581923864146,6.863704725541099,4.356772430609151,2.77141099314296,4.894351108525922,1.8141462668021628,5.458155758699177,5.949241568646977,2.96726082026467,3.634250195586719,13.404721542603955,3.7058218263461535,3.6270991151257004,5.878727558451573,1.156145133832617,4.782010397593662,0.6358686662532375,5.765140618740565
Kauaʻi::Leeward Kauaʻi,16.417511792127875,2.6873729949839666,1.8444147219136355,1.009251990647392,4.295733812445527,1.2250401436234328,1.1019053114373603,6.3437878653079585,2.742252349568193,1.9049118710176227,3.3059427817060816,6.249993110925128,15.204268943184422,1.7182697330660637,1.4913995805143896,1.5574928727599682,1.8919904269415577,2.8850732052778976,1.6799103800249897,1.5132972431103346,1.113901405135077,7.215868472207897,3.655674294775247,0.37454657585422557,2.408750266705613,1.8602887496683402,2.8197943000975494,0.7482504087189707,1.0541253945471594,3.2277795842462997,1.3242586912568586,2.8689109435513145,1.9577727266643414,5.676483532749088,6.049336503357539,12.8650776654618,9.526196986600553,5.9745610084660825,3.6407139305754463,1.9646814846074447,1.4046803981019222,1.0069065682014477,1.0239867991547302,4.827179683606443,6.935419647011678,3.2674390041310835,8.644689664891779,1.7588891947419432,0.6781733243998435,12.033180540213696,3.9007090924765793,1.0967727046193019,0.9175230360822185,0.5007636539495658,1.2534647125838598,2.2287677728290167,1.6897602808616778,1.1243523777543507,4.043892362732231,3.600013522269821,1.473528582181152
Kauaʻi::Windward Kauaʻi,27.655911025530646,4.602955857372798,5.592939575994961,5.421125246791969,15.465652177601152,5.089552217045453,5.254038335726146,4.181963483271163,12.323432407099126,6.117483183155162,8.081649704909967,11.788926330343907,32.28578669115324,5.051121856384569,5.924204115779629,5.87614528969295,8.406773604551788,6.6481296561771694,6.235600709149169,6.15913628642501,3.623462785573565,17.13028919459401,4.67530222075661,1.1323129019978753,6.458200571094114,8.164795536431903,9.14627010121917,3.810709233995899,4.839572959764692,6.488252331137035,3.3103116762555906,8.159310975907166,5.88655972524711,9.409014083312304,9.881626006518914,21.901552006039648,11.400079206702989,13.219161342039357,12.303695676607623,8.925899584562433,6.764346539398708,3.5746345570256453,4.463134356092978,6.706626775258669,14.992707575638692,11.966784875867086,7.763836785416636,5.275874520995608,2.636432584969601,23.057503324136736,11.404036891025573,4.684800795672155,4.258336452472798,3.1373051377263543,4.5990916146927905,8.088325812054265,6.949502810936676,3.0554456198799285,6.5175638478128555,2.6399770716741138,5.742361377666467
Maui::Leeward Maui Nui,2.8077905438008184,3.2290716396702415,1.1387952048239032,0.4056713425203857,1.2233587217441388,0.17473119986486607,0.504837085775717,2.180278970067343,0.8603223140553773,0.8315016916265072,4.241062440940211,1.791124589471698,6.501025999619776,1.2185590555852168,0.4201415017663636,0.18671669874521157,0.22493577941288442,0.7463954552397448,0.5541737593882585,0.5282591603105138,0.6300983954188054,7.495840999720204,0.49765886178269364,0.7004947884918016,1.1700671150422803,0.6695685371482863,1.1165985187349445,0.5212265421991098,0.3169449570939244,0.5464471960525757,1.0000760799854638,1.7215216207290696,1.4078113767546276,3.86922428543202,5.9296413695752,3.0511472371346002,2.8591810266909374,3.5151709213070204,1.1648644964661052,0.6492348035046073,0.5466361187716592,0.2915128097850889,0.4117924824099337,0.5247129454853915,2.342502314513142,1.3397370143200866,9.364589069986113,1.3229475978810177,0.19350795412452784,1.4393571282100148,1.3847681329609562,0.3821936166147945,0.44470525048824316,1.854160623475189,0.5604417824040014,1.0371302588611289,0.9526788475219294,0.3056098311514785,6.264068666536811,0.7229478723061379,0.9729938239166982
Maui::Windward Maui Nui,11.740949641454014,9.759875271142008,6.638946524646297,3.265377987156717,11.019812039624078,2.043992510990588,4.982265910728483,5.418270270677834,10.338737245192487,2.9769996413833275,13.173636208125851,7.32669059957786,28.930090012313606,7.594545680742568,2.3290756831977486,1.87736917913539,2.1321516576242803,6.054068532070274,4.1401246346091956,5.00809125922519,2.4289484826650547,18.46265603477404,1.2810102104434264,1.960444781279173,6.157653261503184,3.7521447491874578,6.734870594045455,4.366474312725991,6.721836574470923,3.4300648007603995,6.05161217279763,7.671011496939506,7.983865077192122,9.194277048108829,15.919896533670618,11.02385177868686,10.810864812824246,13.820496333014932,4.70566365761674,4.903745176228758,6.285214295846032,2.4433871038428534,2.5852474478603873,1.6714251018947306,7.816555790811026,7.020421475907887,11.699124381551176,5.942533916607722,1.2413937594572777,8.958831772023471,6.9877377602621635,4.552934660136482,4.215627051383973,13.364573667922848,4.141055046952395,7.973362815927859,6.135179046795942,1.7274267062448783,15.217063226334247,1.5592537179972321,4.593530267765545
